Name of Product,Batch No,Manufactured By,Reporting Month & Year
Amloclav 625 (Amoxycillin & Potassium Clavulanate Tablets I.P.),BT136026,"M/s. Shashi Pharma, S.N. 77/P, At Vill. Dhanot, Chhatral-382729, Ta. Kalol. Dist. Gandhinagar (Guj.)",01-01-2020
Radin Syrup (Ranitidine Oral Solution I.P.),S18J025,"M/s. Shri Hari Pharmaceuticals Plot No. 767/1, Vadsar-Motibhoyan Road, Vill-Vadsar-382721, Taluka, Kalol, Dist-Gandhinagar, Gujarat.",01-01-2020
Preginate (Doxylamine Succinate and Pyridoxine Hydrochloride Tablets),ZD18715,"M/s. Skymap Pharmaceuticals Pvt. Ltd. B-3, Dev Bhoomi Industrial Estate Puhana, Iqbalpur Road, Roorkee-247667 Uttarakhand.",01-01-2020
Paracetamol Tablets I.P. 650 (Cule 650),TPT-190266,"M/s. Talwar Pharma Jhabrera Road, Kurdi, Manglour-247656, Roorkee, Dist-Haridwar Uttarakhand.",01-01-2020
Gabapentin Tablets IP 300 Mg,STN-181861,"M/s. Terrace Pharmaceuticals (P)Ltd. 3-B (a), Phase-III, Industrial Area Sansarpur Terrace, Distt. Kangra (H.P)-176501",01-01-2020
THEOIMMUNE (Pro-Biotic Capsules),GC190060,"M/s. Theon Pharmaceuticals Ltd., Vill: Saini Majra, Tehsil Nalagarh, Dist. Solan, Himachal Pradesh-174101.",01-01-2020
Olmemark-40 (Olmesartan Medoxomil Tablet IP 40 mg),TPT8689,"M/s. Trugen Pharmaceuticals Pvt. Ltd., Village-Tejjupur, Near Chodiala Rly. Station Roorkey, Dist-Haridwar (UK)-247661.",01-01-2020
Ferrous Sulphate and Folic Acid Tablets I.P.,IFTJ18028,"M/s. Vivek Pharmachem (India) Ltd. EPIP, Bari Brahmana, Jammu-181133.",01-01-2020
Vitamin B-complex Tablet (Prophylactic) NFI (III),T8605,"M/s. Zest Pharma, Plot No.275, Sector F, Sanwer Road,Indore (M.P.) 452015.",01-01-2020
REGUNAC ? 50 (Diclofenac Gastro- Resistant Tablets I.P. 50 mg),FZ57F801,"M/s. Zim Laboratories Limited, B-21/22, MIDC Area, Kalmeshwar -441501, Dist. Nagpur, Maharashtra.",01-01-2020
Depotex 16 mg (Methylprednisolone Tablets IP),AFV1010,"M/s. Zydus Healthcare Ltd., Manufatured at : Vill. Saini Majra, Nalagarh-Ropar Road, Nalagarh, Distt.: Solan-HP.",01-01-2020
Dressipad (1 Surgical Dressing 10cm. X 10cm.),KSCD-29,"M/s.K.S. Surgical Pvt. Ltd. Vill-Begmabad, Budhana, Unchi Sadak, Modi Nagar, U.P.",01-01-2020
Frusemide Tablets I.P. 40 mg. (Rasix),7127,"M/s.Ramson Remedies 186-187, Industrial Focal Point, Amritsar, A.O. 2G Floor, Baktawar, Malabar Hill, Mumbai-6.",01-01-2020
Ampicillin Capsules I.P. 250 mg,CB181217,"M/s. Micron Pharmaceuticals, 2117, A-2, Phase III, G.I.D.C, Vapi-396195, Gujarat.",01-01-2020
Ranitidine Injection I.P.,RI-138,"M/s. Rathi Laboratories (Hindustan) Pvt. Ltd. Industrial Area, Patna-800013.",01-01-2020
Nimesulide Tablets 100mg,NP17016,"M/s. Navketan Pharma Pvt. Ltd., F-106, MIDC, Waluj, Aurangabad-431136 Maharashtra.",01-01-2020
Albendazole Tablets IP 400 MG,ABTW-05,"M/s. Nestor Pharmaceuticals Limited 11, Western Extension Area, Faridabad-121001 (Haryana).",01-01-2020
Fluconazole Tablets,TOH-02,"M/s. Om Biomedic Pvt. Ltd., Plot No.68,69, 82 & 83, Sector-6A, Sidcul, Haridwarâ??249403 (Uttarakhand).",01-01-2020
Albendazole Tablets I.P. 400mg,9622,"M/s. Orissa Drugs & Chemicals Ltd. 1, Mancheswar Industrial Estate, Bhubaneswar Odisha.",01-01-2020
Telmisartan Tablets I.P. 40mg,TMA1001,"M/s. Sai Mirra Innopharm Pvt. Ltd. 288 & 299, SIDCUL Estate, Ambattur, Chennai-600098 Tamilnadu.",01-01-2020
Pantoprazole Gastro- resistant Tablets I.P.,T-6988,"M/s. Kwality Pharmaceuticals Ltd., Nagkalan, Majitha Road, Amritsar Punjab.",01-01-2020
Decodil Expectorant,LF19008,"M/s. Ortin Laboratories Ltd., 275 & 278 (part) I.D.A. Pashamilaram 502307, Sanga Reddy Dist. Telangana.",01-01-2020
"Valaciclovir Hydrochloride, Hydrated Ph. Eur.",AA41927,"M/s. Sun Pharmaceutical Industries Limited, Industrial Area No.3, Dewas 455001 Madhya Pradesh.",01-01-2020
"Valaciclovir Hydrochloride, Hydrated Ph. Eur.",AA41926,"M/s. Sun Pharmaceutical Industries Limited, Industrial Area No.3, Dewas 455001 M.P.",01-01-2020
"Absorbent Cotton Wool I.P.,",A/1812,"M/s. Altus Surgical Pvt. Ltd., 21/D, Mahagujarat Ind. Estate, Sarkhej-Bavla Road, Moraiya, Ahmedabad.",01-01-2020
Diclofenac Sodium Tablets I.P.,DF-R008,"M/s. Bengal Chemicals & Pharmaceuticals Ltd., 115-C, Industrial Estate, Pologround, Indore â?? 452015.",01-01-2020
Albendazole Tablets I.P. 400mg,8491015,"M/s. Bengal Chemicals & Pharmaceuticlas Ltd. 164, Maniktala Main Road, Kolkata-700054.",01-01-2020
Oral Rehydration Salts IP,GP19127,"M/s. Globela Pharma Pvt. Ltd., 357, 358 GIDC, Sachin, Surat-394230, Gujarat.",01-01-2020
Oral Rehydration Salts IP,GP19128,"M/s. Globela Pharma Pvt. Ltd., 357, 358 GIDC, Sachin, Surat-394230, Gujarat.",01-01-2020
Dom-H (Domperidone Suspension),1801,"M/s. Harsh Healthcare 100-101, Industrial Area Rau-453331 Madhya Pradesh.",01-01-2020
Dressipad (1 Surgical Dressing 10cm. X 10cm.),KSCD-12,"M/s. K.S. Surgical Pvt. Ltd. Vill-Begmabad, Budhana, Unchi Sadak, Modi Nagar, U.P.",01-01-2020
Albendazole Tablets IP 400MG,8600219,"M/s. Karnataka Antibiotics & Pharmaceuticals Limited Plot no.14, II Phase, Peenya, Bangalore-560058.",01-01-2020
Albendazole Tablets IP 400 MG,8600119,"M/s. Karnataka Antibiotics & Pharmaceuticals Limited Plot No.14, II Phase, Peenya, Bangalore-560058.",01-01-2020
(Amoxycillin Dispersible Tablets IP 250 mg ),LBT-1578,"M/s. Legen Healthcare, Plot No.20, Sector-5, Parwanoo, Distt.Solan.(H.P.) 173220",01-01-2020
Amoxycillin and Potassium Clavulanate Tablets IP (Angiclave- 625 Tablets),SSB-1658,"M/s. Shri Sai Balaji Pharmatech Pvt. Ltd. 20 Ext. HPSIDC, Ind.Area, Baddi, Himachal Pradesh 173205.",01-02-2020
Lactulose Solution,TL-19109,"M/s. Terrace Pharmaceuticals (P) Ltd. 3-B (a), Phase-III, Industrial Area, Sansarpur, Terrace, Distt. Kangra (H.P.)-176501.",01-02-2020
Glyjack ? 1 (Glimepiride Tablets I.P.),T?19598,"M/s. Jackson Laboratories Pvt. Ltd., 22-24, Majitha Road, Bye Pass, Amritsar â?? 143 001, Punjab.",01-02-2020
Fexodil 120 mg (Fexofenadine Hydrochloride Tablets),T?18839,"M/s. Jackson Laboratories Pvt. Ltd., 22-24, Majitha Road, Bye Pass, Amritsar â?? 143 001, Punjab.",01-02-2020
Phenytoin Sodium Tablets I.P. 100 mg,T?18909,"M/s. Jackson Laboratories Pvt. Ltd., No. 22 â?? 24, Majitha Road, Bye Pass, Amritsar â?? 143 001, Punjab.",01-02-2020
Enzitec Digestive Enzyme Syrup,UBL19005,"M/s. Unibiotech Formulations Delta Division, Vill.Katha, Baddi, Dist. Solan, Himachal Pradesh - 173205.",01-02-2020
Pantoprazole Gastro Resistant Tablets I.P.40 mg.,T-7159,"M/s. Kwality Pharmaceuticals Ltd. Nag Kalan, Majitha Road, Amritsar, Punjab.",01-02-2020
"Ondansetron Injection I.P. 2 mg/ml, 2 ml",ONI1923,"M/s. Modern Laboratories, 45-47, Sector D â?? 2, Sanwer Road, Indore, Madhya Pradesh â?? 452 015.",01-02-2020
Cyanocobalamin Inj. I.P. 1 ml,CY2902,"M/s. Nandini Medical Laboratories Pvt Ltd., 221/5, Bicholi Hapsi, Kanadia Road, Indore.",01-02-2020
Serratiopeptidase Tablets IP 10 mg,SET8002,"M/s. Sai Mirra Innopharm Pvt. Ltd., 288 & 299, SIDCO Estate, Ambattur, Chennai â?? 600 098.",01-02-2020
"Cecon ? XT Tablets (Ferrous Ascorbate, Folic Acid, Vitamin B12 & Zinc Tablets)",SRDT ? 1207,"M/s. Spas Remedise, Vill Bersan, P.O. Lodhi Majra, Teh Baddi, Distt. Solan Himachal Pradesh â?? 173 205.",01-02-2020
"Tymolytic AP (Aceclofenac, Paracetamol & Trypsin Chymotrypsin Capsules)",LVC?6286,"M/s. Life Vision Healthcare, Plot No. 140, EPIP, Phase â?? 1, Jharmajri, Baddi, Solan Himachal Pradesh.",01-02-2020
Metronidazole Tablets I.P. 400mg. (NEUZOL- 400),NZL-19002,"M/s. Neutec Healthcare Pvt. Ltd. E-698, DSNDC, Industrial Area, Narela, Delhi-110040.",01-02-2020
Pantoprazole Tablets I.P. (PANTA-40),OPT-48,"M/s. Orison Pharmaceuticals 51, Industrial Estate, Ambala Cantt-133006 Haryana.",01-02-2020
Biodipin 5 (Amlodipine Tablets IP),ZD19769,"M/s. Skymap Pharmaceuticals Pvt. Ltd., B-3, Dev Bhoomi Industrial Estate, Puhana Iqbalpur Road, Roorkee 247667 Uttarakhand.",01-02-2020
Albendazole Tablets I.P. 400 mg.,ABT18042,"M/s. Vivek Pharmachem (India) Ltd. NG-8, Chimanpura, Amer, Jaipur-303102 Rajasthan.",01-02-2020
Everolimus,201812021,"M/s. Zhejiang Medicines & Health Products Import & Export Co. Ltd., China.",01-02-2020
STECLIN INJECTION Veterinary 50 mg/ml (Oxytetracycline Hydrochloride Injection I.P. 30 ml),STIR19113,"M/s. Zydus Animal Health, A Division of Cadila Healthcare Ltd., At. Plot No. 69/1, G.I.D.C., Kansari Khambhat, Dist. Anand 388 630, Gujarat.",01-02-2020
Domperidone Suspension (Dom-H),1801,"M/s. Harsh Healthcare 100, Industrial Area Rau-453331, Madhya Pradesh.",01-02-2020
Pantoprazole Sodium Tablets I.P.,T-7105,"M/s. Kwality Pharmaceuticals Ltd. Nag Kalan, Majitha Road, Amritsar, Punjab.",01-02-2020
Pantoprazole Gastro Resistant Tablets I.P.40 mg.,T-7156,"M/s. Kwality Pharmaceuticals Ltd. Nag Kalan, Majitha Road, Amritsar, Punjab.",01-02-2020
Pantoprazole Gastro- Resistant Tablets I.P.,T-7166,"M/s. Kwality Pharmaceuticals Ltd. Nag Kalan, Majitha Road, Amritsar, Punjab.",01-02-2020
Pantoprazole Gastro- Resistant Tablets I.P.,T-7165,"M/s. Kwality Pharmaceuticals Ltd. Nag Kalan, Majitha Road, Amritsar, Punjab.",01-02-2020
Mefenamic Acid and Dicyclomine Hydrochloride Tablets IP ( KOLISPAS TABLETS),ABM29010,"M/s. Psychotropics India Limited Plot No. 46 &49, Sector-6A, IIE, SIDCUL, Ranipur, Haridwar-249403 Uttarakhand.",01-02-2020
Clindamycin Phosphate Gel Usp 1% w/w),O8073,"M/s. Rhydburg Pharmaceuticals Ltd. C-2 & 3, S.I.E.L., Seaqui, Dehradun, Uttarakhand.",01-02-2020
Sucralfate and Oxetacaine Suspension ( SUCRACE-O SUSPENSION ),ML190359,"M/s. Mascot Health Series Pvt. Ltd. Plot No. 79, 80 Sec. 6A, IIE, SIDCUL, Haridwar-249403.",01-02-2020
Ondansetron Tablet I.P. (ONDEM-4),19440988,"M/s. Alkem Health Sciences Unit-2, Samardung, Karak Block, P.O. Namthang, South Sikkim-737137.",01-02-2020
Ambroxol Hydrochloride IP,AMB E18001 1219,"M/s. Anuh Pharma Ltd., E-17/3, 17/4 & E18, M.I.D.C., Tarapur, Maharashtra.",01-02-2020
Albendazole 400mg. Tablets I.P.,BBT19329A,"M/s. Biomax Biotechnics (P) Ltd. 261, HSHDC, Industrial Estate Alipur, Barwala, Haryana-134118.",01-02-2020
Albendazole 400 mg. Tablets I.P.,BBT19326A,"M/s. Biomax Biotechnics (P) Ltd. 261, HSHDC, Industrial Estate Alipur, Barwala, Haryana-134118.",01-02-2020
Albendazole 400 mg. Tablets I.P.,BBT19331A,"M/s. Biomax Biotechnics (P) Ltd. 261, HSHDC, Industrial Estate Alipur, Barwala, Haryana-134118.",01-02-2020
Erythromycin Stearate Tablets Ip 250 Mg,GT18390,"M/s. Globela Pharma Pvt. Ltd. 357, G.I.D.C., Sachin Surat-394230, Gujarat.",01-02-2020
Oxytetracycline Hydrochloride (VET) IP/EP/USP,Y51806089W,"M/s. Hebei Jainmin Starch Glucose Co. Ltd., Industrial Development Zone, Ningjin Country, Hebei, China.",01-02-2020
Oxytetracycline Hydrochloride I.P.,Y2-1904082-3,"M/s. Hebei Shengxue Dacheng Pharmaceuticals Co. Ltd., No. 50, Shengxue Road, Luancheng, Shijiazhuang Hebei, China.",01-02-2020
Amoxycillin Capsules I.P. (Amoxytor-250),HCB709L,"M/s. Himalaya Medical Pvt. Ltd. Plot No. 35 & 36, Pharmacity, Selaqui, IndL. Area, Dehradun-248197 Uttarakhand.",01-02-2020
Compound Sodium Lactate Injection IP (Ringers Lactate Solution for Injection),2194,"M/s. Hindustan Antibiotics Ltd. Pimpri, Pune-411018.",01-02-2020
Ferrous Sulphate and Folic Acid Tablets I.P.,ELB-1901,"M/s. HLL Lifecare Ltd. 11/A-1 & 12/C-1, Sector-E, Industrial Area, Sanwer Road, Indore-45201 Madhya Pradesh.",01-02-2020
Albendazole Tablets I.P. 400mg. (Zenebend),GLL18001,"M/s. IBN Herbals Khasra No. 63, Vill-Juddikalan Baddi, Dist- Solan, Himachal Pradesh.",01-02-2020
Amloclav 625 (Amoxycillin & Potassium Clavulanate Tablets I.P.),BT136026,"M/s. Shashi Pharma, S.N. 77/P, At. Vill. Dhanot, Chhatral â?? 382729, Ta. Kalol, Dist. Gandhinagar (Guj.).",01-03-2020
Telmijack- 40 (Telmisartan Tablets IP 40 MG),T-19301,"M/s. Jackson Laboratories Pvt. Ltd. 22-24, Majitha Road, Bye Pass, Amritsar-143001",01-03-2020
Amikacin Sulphate Injection I.P. 500mg / 2ml,ANI3905,"M/s. Modern Laboratories, 45-47, Sector D-2, Sanwer Road, Indore (M.P.) 452015, India.",01-03-2020
Erythromycin Thiocyanate,Q190402020,"M/s. Ningxia Taiyicin Biotech Co. Ltd., Pacific Road, No. 1, Nuanquan Economic Zone, Helan Country, Yinchuan, Ningxia, China.",01-03-2020
H-E-T ? 2 ml (Etofylline & Theophylline Injection),51904,"M/s. Bhavani Pharmaceuticals (P) Ltd., D-4-G, Panki Ind. Area-1, Kanpur â?? 22.",01-03-2020
Asthalin - 4 (Salbutamol Sulphate Tablet I.P. 4 mg),SA81637,"M/s. Cipla Ltd., Kumrek, Rangpo, Sikkim - 737132, India",01-03-2020
Amoxycillin Trihydrate Dispersible Tablets I.P. 125 mg,EAK103,"M/s. Elegant Drugs Pvt. Ltd., R.S.No. 59/3A, Chalmatti â?? 581 196, Dist. Dharwad, State Karnakata.",01-03-2020
Salbetol -2 (Salbutamol Tablets IP 2 mg),469D005,"M/s. FDC Limited, Plot No L -40, Verna Industrial Estate, Verna, Salcete, Goa.",01-03-2020
Albendazole Tablets I.P. (REBEN),T9030099,"M/s. Rhydburg Pharmaceuticals Ltd, C2 & 3, S.I.E.L, Selaqui, Dehradun, UK",01-03-2020
Glimepiride Tablets I.P. 1mg,TPT-0316,"M/s. Tanpal Pharmaceuticals D-12-13, Focal Point, Nabha-147201",01-03-2020
Ferrous Sulphate and Folic Acid Tablets I.P,IFTJ18025,"M/s. Vivek Pharmachem (India) Ltd. EPIP, Bari Brahmana, Jammu-181133",01-03-2020
Albendazole Tablets I.P. 400 mg,ABT18036,"M/s. Vivek Pharmachem (India) Ltd. NH-8, Chimanpura, Amer, Jaipur-303102",01-03-2020
Albendazole Tablets I.P. 400 mg,ABT18036,"M/s. Vivek Pharmachem (India) Ltd. NH-8, Chimanpura, Amer, Jaipur-303102",01-03-2020
Pheniramine Maleate Tablets I.P. (MOREVIL-25 Tablets),NT-190221,"M/s.Gracure Pharmaceuticals Ltd. Brahman Bell Road, Vill. Belldyod, Nalagarh, Dist. Solan (H.P)",01-03-2020
Albendazole Tablets I.P. 400 mg,BBT19327A,"M/s. Biomax Biotechnics (P) Ltd. 261, HSHDC, Industrial Estate Alipur, Barwala, Haryana-134118.",01-03-2020
Pantoprazole Gastro- Resistant Tablets I.P. (ALPANT-40),MST-18403,"M/s. M Sea Pharmaceuticals (P) Ltd, Surajpur, Paonta Sahib, Sirmour, H.P.-173025",01-03-2020
Methylergometrine Maleate Tablets IP,19113201,"Mercury Laboratories Limited, Unit: 2, Halol-Baroda Road, Jarod, Tal: Waghodia, Distt. Vadodara-391510",01-03-2020
Ciprofloxacin & Tinidazole Tablets (CIPROTEC-TZ),CTZ-19001,"M/s. Neutec Healthcare Pvt. Ltd. E-698, DSIIDC, Industrial Area, Narela, Delhi-110040",01-03-2020
Albendazole Tablets I.P. 400mg,8491015,"M/s. Bengal Chemicals & Pharmaceuticals Ltd. 164, Maniktala Main Road,Kolkata-700054",01-03-2020
Frusemide Tablets I.P. 40mg (RASIX Tablets),7127,"M/s. Ramson Remedies 186-187, Industrial Focal Point, Amritsar, A.O.: 2, G. Floor, Baktawar, Malabar Hill, Mumbai-6.",01-03-2020
JFIX-LB (Cefixime Trihydrate with Lactic Acid Tablets IP),HS.114,"M/s. Rivpra Formulations Pvt. LIMITED., Plot No. 8, Sector -6A, I.I.E., Sidcul, Haridwar-249403 (U.K)",01-03-2020
Levocetirizine HCL Tablets I.P. 5mg,SHT9389,"M/s. Synokem Healthcare Ltd. D-42, IIE, SIDCUL, Selaqui, Dehradun-248197 (U.K)",01-03-2020
Glimepiride Tablets I.P. 1mg,TPT-0316,"M/s. Tanpal Pharmaceuticals D-12-13, Focal Point, Nabha-147201",01-03-2020
Glimepiride Tablets I.P. 2 mg,TPT-0317,"M/s. Tanpal Pharmaceuticals D-12-13, Focal Point, Nabha-147201",01-03-2020
Metronidazole Tablets I.P. 400mg,MZT19009,"M/s. Vivek Pharmachem (India) Ltd. NH-8, Chimanpura, Amer, Jaipur-303102",01-03-2020
Ibuprofen Tablets IP 400mg,LL484103,"M/s. Lesanto Laboratories, Plot No. 9, 10, 11 and 20, Survey No. 53, Palghar, Maharashtra.",01-03-2020
Paracetamol and Mefenamic Acid Suspension ( EVIMOL-DS SUSPENSION ),L-409,"M/s Bioconic Remedies, Plot No. 66-67, Industrial Area, Gondpur, Paonta Sahib, Distt. Sirmour (H.P)-173205.",01-03-2020
Metoprolol Succinate Extended Release Tablets USP Metorol- XL 50 mg,CT9167,"M/s Cian Healthcare Pvt. Ltd. Kh. No.:248, Village. Sisona, Bhagwanpur, Roorkee, Haridwar, Uttarakhand",01-03-2020
Tamsulosin Hydrochloride Modified Release Capsule (GOTAM-0.4 CAPSULES),CC-190002,"M/s CMG Biotech Pvt. Ltd.58, Industrial Area, Phase III, Sansarpur Terrace, HP-176501",01-03-2020
"Paracetamol, Phenylephrine Hydrochloride and Chlorpheniramine Maleate Syrup (COLDBEST-PC SYRUP)",DL5201,"M/s Digital Vision Pvt. Ltd. 176, Mauza Ogli, Nahan road, Kala Amb, Distt. Sirmour (H.P)",01-03-2020
Norfloxacin & Tinidazole Tablets (EMNORCIN-TL TABLETS),DVT197270,"M/s Digital Vision Pvt. Ltd. 176, Mauza Ogli, Nahan road, Kala Amb, Distt. Sirmour (H.P)",01-03-2020
"Paracetamol, Phenylephrine Hydrochloride and Chlorpheniramine Maleate Syrup (COLDBEST-PC SYRUP)",DL5201,"M/s Digital Vision Pvt. Ltd. 176, Mauza Ogli, Nahan road, Kala Amb, Distt. Sirmour (H.P)-173030",01-03-2020
"Paracetamol, Phenylephrine Hydrochloride and Chlorpheniramine Maleate Syrup (COLDBEST-PC SYRUP)",DL5201,"M/s Digital Vision Pvt. Ltd. 176, Mauza Ogli, Nahan road, Kala Amb, Distt. Sirmour (H.P)-173030",01-03-2020
"Paracetamol, Phenylephrine Hydrochloride and Chlorpheniramine Maleate Syrup (COLDBEST-PC SYRUP)",DL5201,"M/s Digital Vision Pvt. Ltd. 20 176, Mauza Ogli, Nahan road, Kala Amb, Distt. Sirmour (H.P)-173030",01-03-2020
Sodium Chloride Injection IP,190719,"M/s Haseeb Pharmaceuticals Pvt. Ltd., Plot No. F9/14,15,16, MIDC,Nagpur-440016",01-03-2020
Metoprolol Succinate Extended Release Tablets USP (METOROL-XL 50 TABLETS),T8030128,"M/s ION Healthcare Pvt. Ltd. Baddi-Barotiwala road, Baddi, Distt. Solan (H.P)-173205",01-03-2020
Tinidazole Tablets IP 500 mg,BT-8416,"M/s Omega Biotech Ltd., 7th Mile Stone, Dehradun road, Roorkee - 247667 (UK)",01-03-2020
NUPUR HENNA,B731,"M/s Progression Industries Pvt. Ltd., Unit-II, Plot No. 9B, Apparel Park cum Industrial Area, Village Katha, Baddi,Distt. Solan (H.P.)-173205.",01-03-2020
Paracetamol Paediatric Oral Suspension IP 125 mg/5 ml (STARMOL SUSPENSION),RV19007,"M/s Rivpra Formulations Pvt. Ltd., Plot No. 8, Sector-6A,IIE, SIDCUL, Haridwar-249403 (Uttrakhand)",01-03-2020
Paracetamol Tablets IP (SYNPAR TABLETS),19SGJT005,"M/s SYNOKEM Pharmaceuticals Limited, Plot No. 36-36, Sector-6A,IIE, SIDCUL, Ranipur, Haridwar-249403 (Uttrakhand)",01-03-2020
Alprazolam Tablets I.P. 0.25 mg,TAZ-7005,"M/s. Cotec Healthcare (P) Ltd. NH. No.-74, Roorkee-Dehradun Highway, Kishanpur, Roorkee (U.K) -244667",01-03-2020
Rabeprazole 20mg & Domeperidone 30 mg. SR Capsule,CRD-7015,"M/s. Cotec Helathcare (P) Ltd. NH. No.-74, Roorkee-Dehradun Highway, Kishanpur, Roorkee (U.K) -244667",01-03-2020
Compound Sodium Lactate Injection I.P. (RL),190039,"M/s. D.J.Laboratories Pvt. Ltd. 255, Sector-1, Industrial Area, Pithampur-454775.",01-03-2020
Norfloxacin Tablets I.P. (NORPIC -400),NR1801,"M/s. Danish Healthcare (P) Ltd. 76/27, Industrial Estate, Maxi Road, Ujjain-456010",01-03-2020
Cefixime Dispersible Tablets I.P. 200mg (CEFONIX 200),EL-G/015/A,"M/s. Elvia Care Pvt. Ltd. Vill. Berson, Tehsil, Nalagarh, Dist-Solan (H.P)",01-03-2020
"Paracetamol, Propyphenazone and Caffeine Tablets (Dart Analgesic Tablets)",1802012,"M/s. Juggat Pharma 47/1, 20thK.M., Mysuru Road, Bengaluru- 560074.",01-03-2020
Glimepiride Tablets I.P. 2 mg,TPT-0317,"M/s. Tanpal Pharmaceuticals D-12-13, Focal Point, Nabha- 147201, Punjab",01-04-2020
Enaril-2.5 mg (Enalapril Maleate Tablets I.P.).,T - 19831,"M/s. Jackson Laboratories Pvt. Ltd., 22-24, Majitha Road, Bye Pass, Amritsar â?? 143001 (India)",01-04-2020
Cefuroxime Axetil Tablets I.P. (CEFUROX-S- 500),T-16940,"M/s. Jackson Laboratories Pvt. Ltd. 22- 24, Majitha Road, Bye Pass, Amritsar-143001",01-04-2020
Enalapril Maleate Tablets IP 5 mg (ENARIL-5 TABLETS ),T-20140,"M/s. Jackson Laboratories Pvt.Ltd., 22- 24, Majitha Road, Bye Pass, Amritsar â?? 143001 (India)",01-04-2020
Chlorhexidine Gluconate 0.5%w/v Isopropyl Alcohol (FEEL GOOD INSTANT HAND SANITIZING GEL),EMB-0001,"M/s. Voda Chemicals Pvt. Ltd At: M-158, Sec.5, Bawana Indl. Area, Delhi- 110039",01-04-2020
Calcium with Vitamin D3 Tablets (DEECAL),WT-048,"M/s. Wilcure Remedies Pvt. Ltd. Plot No. 10, Gram Mirzapur, Khandwa Road, Bye Pass, Amritsar-143004",01-04-2020
Cefpodoxime Proxetil Tablets I.P. 200mg (CEF- DP 200),BST-1296,"M/s.Bonn Schtering Bio Sciences, Plot No. 64 & 65, First Floor, Electronic Park, Thirubuvanai, Mannadipet Commune, Puducherry-605107",01-04-2020
Ramizim ? 5 (Ramipril Tablets I.P. 5 mg),EO82G801,"M/s. ZIM Laboratories Limited (Unit-II), A-8/14, MIDC Area, Kalmeshwar 441 501, Dist. Nagpur, (M.S.)",01-04-2020
Prednisolone Tablets I.P.,TPR5-033,"M/s. Medipol Pharmaceutical India Pvt. Ltd., 1199/3, Bhud, Baddi, Dist. Solan, H.P. India",01-04-2020
Montelukast Sodium & Levocetirizine Hydrochloride Tablets I.P.,TMNL-018,"M/s. Medipol Pharmaceutical India Pvt. Ltd.1199/3, Bhud, Baddi, Dist. Solan, H.P.",01-04-2020
Montelukast Sodium & Levocetirizine Hydrochloride Tablets I.P.,TMNL-018,"M/s. Medipol Pharmaceutical India Pvt. Ltd.1199/3, Bhud, Baddi, Dist. Solan, H.P.",01-04-2020
Levocetirizine Hydrochloride Tablets I.P. (ALECET),18H-T1108H,"M/s. Orison Pharma International Khari, Mauza Ogli, Kala Amb-173030 (H.P)",01-04-2020
CDPIN 10 (Cilnidipine Tablets I.P. 10 mg),549J001,"M/s. Ravenbhel Healthcare Pvt. Ltd. 16-17, EPIP, SIDCO, Kartholi, Bari Brahmana, Jammu - 181133",01-04-2020
Clopidogrel & Aspirin Tablets 75/75 mg,T8090229,"M/s. Rhydburg Pharmaceuticals Ltd, C2 & 3, S.I.E.L, Selaqui, Dehradun, UK",01-04-2020
Alprazolam Tablets I.P.(ZOCALM-0.5),NB/180845,"M/s. SBS Biotech Mouza Rampur, Jattan, Nahan Road, Kala-Amb, Dist- Sirmour(H.P)",01-04-2020
Amoxycillin and Potassium Clavulanate Oral Suspension I.P.,D-2533,"M/s. Kwality Pharmaceuticals Ltd. Nag Kalan, Majitha Road, Amritsar",01-04-2020
ROSE MED (Sterile Surgical Gloves Pre Powdered),1904A/02,"M/s. Mariya Healthcare Pvt. Ltd., Munnekkar P.O. Karimba, Palakkad, Kerala â?? 678597",01-04-2020
Albendazole Tablets I.P.400mg,ABT18036,"M/s. Vivek Pharmachem (India) Ltd., NH-8, Chimanpura, Amer, Jaipur-303102",01-04-2020
Norfloxacin Tablet I.P. 400mg,T-9457,"Zest Pharma Plot No. 275, Sector F, Sanwer Road, Indore-452015, Madhya Pradesh",01-04-2020
Tranexamic Acid Tablets I.P. 500mg,TAT607,"M/s. Unicure India Ltd., C-21, 22 & 23, Sector-3, Noida- 201301, Dist. Gautam Budh Nagar, Uttar Pradesh",01-04-2020
Levocetirizine & Montelukast Tablets I.P.,TMNL-008,"M/s. Medipol Pharmaceuticals India Pvt. Ltd. 1199/3, Bhud, Baddi, Dist. Solan, H.P.",01-04-2020
Dicyclomine Hydrochloride Tablets I.P.(Bargan),NT-17300,"M/s. Neutec Healthcare Pvt. Ltd. E-698, DSIIDC, Industrial Area, Narela, Delhi- 110040.",01-04-2020
Cefpodoxime Tablets I.P. 200mg,NPSM2T19001,"M/s. Nootan Pharamaceuticals Tipra, Barotiwala, Kalka Road, Barotiwala, Dist. Solan, H.P.-174103",01-04-2020
Compound Sodium Lactate Injections 500ml (RL),03BF0799,"M/s. Paschim Banga Pharmaceuticals NH-31, Tinmile Hat, Sonapur Hat, P.S.Chopra, Dist. Uttar, Dinajpur-733214 (W.B)",01-04-2020
Chloramphenicol Capsules I.P. (LABCHLOR 500),JLGC-003,"M/s. Laborate Pharmaceuticals India Ltd, Unit-II, #31, Rajban Road, Nariwala, Paonta Sahib, H.P.",01-04-2020
